"numcoutrex","codesolution","coderex","minicoutrex","maxicoutrex","reelcoutrex","codemonnaiecoutrex","codeunitecoutrex","codedifficulte","codelicense"
"43","782","71",NULL,NULL,"461000","2","1","3","3"
"44","787","82",NULL,NULL,"3500000","2","1",NULL,"3"
"45","784","83",NULL,NULL,"10300000","2","1","3","3"
"46","784","84",NULL,NULL,"11000000","2","1","3","3"
"47","196","85","2500","4000",NULL,"3","1","7","3"
"48","58","89",NULL,NULL,"0","3","1","8","3"
"49","58","89",NULL,NULL,"2400","3","1","8","3"
"50","801","90",NULL,NULL,"4000000","2","1","3","3"
"51","240","92",NULL,NULL,"24000000","3","1","3","3"
"52","803","96",NULL,NULL,NULL,"1","1",NULL,"3"
"53","10","96",NULL,NULL,NULL,"1","1",NULL,"3"
"54","724","96",NULL,NULL,NULL,"1","1",NULL,"3"
"55","719","96",NULL,NULL,NULL,"1","1",NULL,"3"
"56","54","14",NULL,NULL,"12000","2","1","3","3"
"57","719","14",NULL,NULL,"7000","2","1","8","3"
"58","329","202",NULL,NULL,"426445","2","1",NULL,"3"
"59","329","203",NULL,NULL,"46405","2","1",NULL,"3"
"60","329","204",NULL,NULL,"47025","2","1",NULL,"3"
"61","329","205",NULL,NULL,"45858","2","1",NULL,"3"
"62","329","206",NULL,NULL,"223400","2","1",NULL,"3"
"63","329","207",NULL,NULL,"87738","2","1",NULL,"3"
"64","329","214",NULL,NULL,"70000","2","1",NULL,"3"
"65","852","219",NULL,NULL,"20000","2","1",NULL,"3"
"66","329","230",NULL,NULL,"50000","2","1",NULL,"3"
"67","855","249",NULL,NULL,"615","2","1",NULL,"3"
"68","329","269",NULL,NULL,"807890","2","1",NULL,"3"
"69","329","271",NULL,NULL,"100000","2","1",NULL,"3"
"70","857","194",NULL,NULL,"183000","2","1","3","3"
"71","426","277",NULL,NULL,NULL,"1","1",NULL,"3"
"72","222","279",NULL,NULL,"55000","2","1",NULL,"3"
"73","223","286",NULL,NULL,"7200","2","8",NULL,"3"
"74","222","290",NULL,NULL,"200000","2","1",NULL,"3"
"75","850","291",NULL,NULL,"63042","2","1",NULL,"3"
"76","334","296",NULL,NULL,NULL,"1","1",NULL,"3"
"77","222","296",NULL,NULL,NULL,"1","1",NULL,"3"
"78","850","300",NULL,NULL,NULL,"1","1",NULL,"3"
"79","334","300",NULL,NULL,NULL,"1","1",NULL,"3"
"80","858","302",NULL,NULL,"19000","2","1",NULL,"3"
"81","226","302",NULL,NULL,"19000","2","1",NULL,"3"
"82","859","313",NULL,NULL,NULL,"1","1",NULL,"3"
"83","231","313",NULL,NULL,NULL,"1","1",NULL,"3"
"84","852","320",NULL,NULL,"740000","2","1",NULL,"3"
"85","859","321",NULL,NULL,"10435","2","1",NULL,"3"
"86","859","323",NULL,NULL,NULL,"1","1",NULL,"3"
"87","726","323",NULL,NULL,NULL,"1","1",NULL,"3"
"88","852","325",NULL,NULL,"700000","2","1",NULL,"3"
"89","329","326",NULL,NULL,"42000","2","1",NULL,"3"
"90","847","327",NULL,NULL,"16056","2","1",NULL,"3"
"91","847","331",NULL,NULL,"305000","2","1",NULL,"3"
"92","863","334",NULL,NULL,"2000000","2","1",NULL,"3"
"93","868","110",NULL,NULL,"45000","4","1","3","3"
"94","160","110",NULL,NULL,"9000","4","1","8","3"
"95","869","113",NULL,NULL,"2583","3","1","8","3"
"96","870","113",NULL,NULL,"88000","3","1",NULL,"3"
"97","778","116",NULL,NULL,"300000","4","1","8","3"
"98","779","116",NULL,NULL,"50000","4","1","3","3"
"99","866","114",NULL,NULL,"365000","4","1","3","3"
"100","873","120",NULL,NULL,"23150","2","1","3","3"
"101","873","120",NULL,NULL,"4630","2","1","8","3"
"102","139","122",NULL,NULL,"50000","3","1","8","3"
"103","182","122",NULL,NULL,"1667","3","1","8","3"
"104","877","123",NULL,NULL,"57120","3","1","8","3"
"105","336","123",NULL,NULL,"912","3","1","8","3"
"107","881","125",NULL,NULL,"10000","3","1","8","3"
"108","884","127",NULL,NULL,"720000","3","1","8","3"
"109","869","127",NULL,NULL,"450000","3","1","8","3"
"110","766","128",NULL,NULL,"180","3","1","8","3"
"111","887","128",NULL,NULL,"454","3","1","8","3"
"112","768","128",NULL,NULL,"2545","3","1",NULL,"3"
"113","888","129",NULL,NULL,"23256","3","1","8","3"
"114","726","177",NULL,NULL,"30000","2","1","8","3"
"115","897","173",NULL,NULL,"25000","2","1",NULL,"3"
"116","897","173",NULL,NULL,"60000","2","1",NULL,"3"
"117","859","172",NULL,NULL,"100000","2","1","8","3"
"118","336","169",NULL,NULL,"116000","2","1",NULL,"3"
"119","719","169",NULL,NULL,NULL,"1","1",NULL,"3"
"120","358","169",NULL,NULL,NULL,"1","1",NULL,"3"
"121","719","191",NULL,NULL,"8500","4","1","8","3"
"122","744","191",NULL,NULL,"20100","4","1","8","3"
"123","852","191",NULL,NULL,"6000","4","1","8","3"
"124","902","191",NULL,NULL,"7500","4","1","8","3"
"125","903","191",NULL,NULL,"1500","4","1","8","3"
"126","904","191",NULL,NULL,"2500","4","1","8","3"
"127","850","191",NULL,NULL,"16800","4","1","8","3"
"128","905","191",NULL,NULL,"16112","4","1",NULL,"3"
"129","906","190",NULL,NULL,"1200","4","1","8","3"
"130","29","190",NULL,NULL,"900","4","1","8","3"
"131","421","190",NULL,NULL,"1500","4","1","8","3"
"132","907","190",NULL,NULL,"3200","4","1","2","3"
"133","857","189",NULL,NULL,"30000","4","1","8","3"
"134","539","189",NULL,NULL,"18000","4","1","8","3"
"135","909","189",NULL,NULL,"68000","4","1",NULL,"3"
"136","910","188",NULL,NULL,"5400","4","1","8","3"
"137","223","188",NULL,NULL,"12120","4","1","8","3"
"138","586","188",NULL,NULL,"16160","4","1",NULL,"3"
"139","849","187",NULL,NULL,"5000","4","1","8","3"
"140","223","187",NULL,NULL,"5129","4","1","8","3"
"141","586","187",NULL,NULL,"3600","4","1","8","3"
"142","857","187",NULL,NULL,"30000","4","1","8","3"
"143","223","186",NULL,NULL,"25740","4","1","8","3"
"144","223","186",NULL,NULL,"16200","4","1","8","3"
"145","912","186",NULL,NULL,"360","4","1","8","3"
"146","719","186",NULL,NULL,"3000","4","1","8","3"
"147","295","186",NULL,NULL,"5600","4","1","8","3"
"148","920","339",NULL,NULL,"380500","2","1","3","3"
"150","46","341",NULL,NULL,"20000","2","1","8","3"
"151","46","341",NULL,NULL,"50000","2","1","8","3"
"152","48","342",NULL,NULL,"672000","2","1",NULL,"3"
"154","925","343",NULL,NULL,"77000","2","1",NULL,"3"
"155","719","343",NULL,NULL,"32000","2","1",NULL,"3"
"156","719","345",NULL,NULL,"29974","2","1",NULL,"3"
"159","148","60",NULL,NULL,NULL,"1","1",NULL,"3"
"160","43","347",NULL,NULL,"1600000","9","1",NULL,"3"
"161","719","347",NULL,NULL,"1600000","9","1",NULL,"3"
"163","719","348",NULL,NULL,"27440","2","1",NULL,"3"
"164","43","348",NULL,NULL,"27440","2","1",NULL,"3"
"165","719","349",NULL,NULL,"4650000","9","1",NULL,"3"
"166","719","350",NULL,NULL,NULL,"1","1",NULL,"3"
"167","1129","350",NULL,NULL,NULL,"1","1",NULL,"3"
"168","154","351",NULL,NULL,"100000","9","1",NULL,"3"
"169","779","351",NULL,NULL,"65000","9","1",NULL,"3"
"170","719","353",NULL,NULL,"15550","2","1",NULL,"3"
"171","154","357",NULL,NULL,NULL,"1","1",NULL,"3"
"172","719","357",NULL,NULL,NULL,"1","1",NULL,"3"
"173","147","357",NULL,NULL,NULL,"1","1",NULL,"3"
"174","1061","358",NULL,NULL,"41135","2","1",NULL,"3"
"175","160","359",NULL,NULL,NULL,"1","1",NULL,"3"
"176","926","359",NULL,NULL,NULL,"1","1",NULL,"3"
"177","919","359",NULL,NULL,NULL,"1","1",NULL,"3"
"178","719","361",NULL,NULL,NULL,"1","1",NULL,"3"
"179","160","361",NULL,NULL,NULL,"1","1",NULL,"3"
"180","928","362",NULL,NULL,"32454","2","1",NULL,"3"
"181","867","363",NULL,NULL,"914000","2","1",NULL,"3"
"182","871","364",NULL,NULL,"15000","2","1",NULL,"3"
"183","724","364",NULL,NULL,"15000","2","1",NULL,"3"
"184","901","366",NULL,NULL,"625440","2","1",NULL,"3"
"185","901","367",NULL,NULL,"51000","2","1","3","3"
"186","160","369",NULL,NULL,NULL,"1","1",NULL,"3"
"187","223","369",NULL,NULL,NULL,"1","1",NULL,"3"
"188","855","369",NULL,NULL,NULL,"1","1",NULL,"3"
"189","358","369",NULL,NULL,NULL,"1","1",NULL,"3"
"190","193","370",NULL,NULL,"80000","2","1",NULL,"3"
"191","54","370",NULL,NULL,"80000","2","1",NULL,"3"
"192","719","370",NULL,NULL,"80000","2","1",NULL,"3"
"193","930","371",NULL,NULL,"800000","2","1",NULL,"3"
"194","780","371",NULL,NULL,"190000","2","1",NULL,"3"
"195","931","372",NULL,NULL,"751599","2","1",NULL,"3"
"196","804","373",NULL,NULL,"229800","2","1",NULL,"3"
"197","884","374",NULL,NULL,"1550000","2","1","3","3"
"198","804","376",NULL,NULL,"2315000","2","1","3","3"
"199","804","377",NULL,NULL,"3126330","2","1","3","3"
"200","1055","378",NULL,NULL,"338000","2","1",NULL,"3"
"201","889","380",NULL,NULL,"500","2","1",NULL,"3"
"202","55","381",NULL,NULL,"113500","2","1",NULL,"3"
"203","331","381",NULL,NULL,"5700","2","1",NULL,"3"
"204","185","382",NULL,NULL,"11208","2","1",NULL,"3"
"205","154","383",NULL,NULL,"37000","2","1",NULL,"3"
"206","113","383",NULL,NULL,"5280","2","1",NULL,"3"
"207","850","383",NULL,NULL,"17900","2","1",NULL,"3"
"208","857","384",NULL,NULL,"325000","2","1","3","3"
"209","427","386",NULL,NULL,"200000","2","1","4","3"
"210","933","387",NULL,NULL,NULL,"1","1",NULL,"3"
"211","349","387",NULL,NULL,NULL,"1","1",NULL,"3"
"212","553","388",NULL,NULL,"6512000","2","1","3","3"
"214","553","390",NULL,NULL,"98243","2","1",NULL,"3"
"215","935","368",NULL,NULL,"1000000","2","1",NULL,"3"
"216","935","368",NULL,NULL,"2400000","2","1",NULL,"3"
"217","553","379",NULL,NULL,NULL,"2","1",NULL,"3"
"218","711","155",NULL,NULL,"150000","2","1",NULL,"3"
"219","937","155",NULL,NULL,"130000","2","1",NULL,"3"
"220","427","391",NULL,NULL,"90000","2","1",NULL,"3"
"221","936","392",NULL,NULL,"330000","2","1","3","3"
"222","1082","401",NULL,NULL,"33350","2","1",NULL,"3"
"223","553","409",NULL,NULL,"7165103","2","1",NULL,"3"
"224","254","410",NULL,NULL,"179000","2","1",NULL,"3"
"225","253","410",NULL,NULL,"1569000","2","1","3","3"
"226","897","411",NULL,NULL,"135000","2","1",NULL,"3"
"227","719","346",NULL,NULL,"236000","9","1",NULL,"3"
"228","719","423",NULL,NULL,"13000","2","1",NULL,"3"
"229","719","423",NULL,NULL,"80000","2","1",NULL,"3"
"230","253","426",NULL,NULL,"530","2","1",NULL,"3"
"231","543","426",NULL,NULL,"1560","2","1",NULL,"3"
"232","250","426",NULL,NULL,"16","2","8",NULL,"3"
"233","97","426",NULL,NULL,"60","2","8",NULL,"3"
"234","253","432",NULL,NULL,"397293","2","1",NULL,"3"
"235","937","433",NULL,NULL,"110000","2","1",NULL,"3"
"236","553","107",NULL,NULL,NULL,"1","1","3","3"
"237","779","154",NULL,NULL,"11000","2","1",NULL,"3"
"238","154","154",NULL,NULL,"31000","2","1",NULL,"3"
"239","182","97",NULL,NULL,"3674","3","1","8","3"
"240","113","97",NULL,NULL,"3674","3","1","8","3"
"241","965","97",NULL,NULL,"3674","3","1","2","3"
"242","1017","97",NULL,NULL,"2200","3","1","8","3"
"243","329","97",NULL,NULL,"1363","3","1",NULL,"3"
"244","352","99",NULL,NULL,"62000","3","1",NULL,"3"
"245","246","99",NULL,NULL,"624000","3","1","3","3"
"246","160","152",NULL,NULL,"2500","3","1","8","3"
"247","778","152",NULL,NULL,NULL,"1","1",NULL,"3"
"248","966","445",NULL,NULL,"2000","2","1",NULL,"3"
"249","1022","100",NULL,NULL,"55000","3","1","3","3"
"250","211","100",NULL,NULL,"17000","3","1","3","3"
"251","192","100",NULL,NULL,"33","3","1","8","3"
"252","160","100",NULL,NULL,"155","3","1","8","3"
"253","790","100",NULL,NULL,"165","3","1","8","3"
"254","352","101",NULL,NULL,"3500","3","1",NULL,"3"
"255","194","101",NULL,NULL,"656","3","1",NULL,"3"
"256","339","101",NULL,NULL,"1930","3","1",NULL,"3"
"257","339","103",NULL,NULL,"100","3","1","8","3"
"258","790","103",NULL,NULL,"3424","3","1",NULL,"3"
"259","329","103",NULL,NULL,"251","3","1",NULL,"3"
"260","329","103",NULL,NULL,"2957","3","1",NULL,"3"
"261","320","103",NULL,NULL,"616","3","1","8","3"
"262","192","105",NULL,NULL,"483","3","1","8","3"
"263","240","105",NULL,NULL,"1430000","3","1","3","3"
"264","240","105",NULL,NULL,"11","3","12",NULL,"3"
"265","218","105",NULL,NULL,"82829","3","1",NULL,"3"
"266","211","105",NULL,NULL,"82829","3","1",NULL,"3"
"267","712","469",NULL,NULL,"533000","6","1",NULL,"3"
"268","43","469",NULL,NULL,"65000","6","1",NULL,"3"
"269","974","484",NULL,NULL,"300000","6","1","8","3"
"270","708","470",NULL,NULL,"16000","6","1",NULL,"3"
"271","956","482",NULL,NULL,"1000000","6","1",NULL,"3"
"272","212","483",NULL,NULL,"40000","6","1",NULL,"3"
"273","154","468",NULL,NULL,"295000","6","1","3","3"
"274","193","488",NULL,NULL,"56000","6","1",NULL,"3"
"275","553","473",NULL,NULL,"270000","6","1","3","3"
"276","488","473",NULL,NULL,"90000","6","1",NULL,"3"
"277","1061","476",NULL,NULL,"12000","6","1",NULL,"3"
"278","154","151",NULL,NULL,"10000","6","1","8","3"
"279","1080","478",NULL,NULL,"42000","6","1",NULL,"3"
"280","154","479",NULL,NULL,"43000","6","1",NULL,"3"
"281","329","479",NULL,NULL,"26000","6","1",NULL,"3"
"282","367","480",NULL,NULL,"4900","6","1","8","3"
"283","182","480",NULL,NULL,"4500","6","1","8","3"
"284","1061","485",NULL,NULL,"10000","6","1",NULL,"3"
"285","160","485",NULL,NULL,"1050","6","1",NULL,"3"
"286","1002","486",NULL,NULL,NULL,"1","1","3","3"
"287","1003","490",NULL,NULL,"73952","6","1","3","3"
"288","780","491",NULL,NULL,"44000","6","1",NULL,"3"
"289","1065","491",NULL,NULL,"44000","6","1",NULL,"3"
"290","720","491",NULL,NULL,"5200","6","1",NULL,"3"
"291","1004","471",NULL,NULL,"10000","6","1",NULL,"3"
"292","1003","512",NULL,NULL,"1200000","9","1","3","3"
"293","179","512",NULL,NULL,"150000","9","1",NULL,"3"
"294","955","512",NULL,NULL,"240000","9","1",NULL,"3"
"295","985","520",NULL,NULL,"76225","2","1","2","3"
"296","214","517",NULL,NULL,"30000","9","1",NULL,"3"
"297","1010","507",NULL,NULL,"60979","2","1","3","3"
"298","1011","508",NULL,NULL,"45735","2","1",NULL,"3"
"299","1061","500",NULL,NULL,"67000","2","1",NULL,"3"
"300","1061","500",NULL,NULL,"40000","2","1",NULL,"3"
"301","46","500",NULL,NULL,"60000","2","1",NULL,"3"
"302","61","89",NULL,NULL,"10275","3","1",NULL,"3"
"303","249","89",NULL,NULL,"12673","3","1",NULL,"3"
"304","58","89",NULL,NULL,"6878","3","1",NULL,"3"
"305","97","124",NULL,NULL,"4000","3","1",NULL,"3"
"306","1016","446",NULL,NULL,"20663","2","1",NULL,"3"
"307","1016","446",NULL,NULL,"10495","2","1",NULL,"3"
"308","1016","446",NULL,NULL,"25","2","20",NULL,"3"
"309","1016","446",NULL,NULL,"2","2","20",NULL,"3"
"310","1016","446","5","6",NULL,"2","20",NULL,"3"
"311","553","446",NULL,NULL,"85500","2","1",NULL,"3"
"312","553","400",NULL,NULL,"1401812","2","1",NULL,"3"
"313","1083","400",NULL,NULL,"855818","2","1",NULL,"3"
"314","1018","97",NULL,NULL,"660","3","1",NULL,"3"
"315","1021","99",NULL,NULL,"362000","3","1",NULL,"3"
"316","1025","557",NULL,NULL,"310000","2","1",NULL,"3"
"317","1024","557",NULL,NULL,"22500","2","1",NULL,"3"
"318","154","484",NULL,NULL,"4000","6","1",NULL,"3"
"319","1026","30",NULL,NULL,"17000","2","1",NULL,"3"
"320","1029","104",NULL,NULL,"25000","3","1",NULL,"3"
"321","790","104",NULL,NULL,"91667","3","1",NULL,"3"
"322","1030","105",NULL,NULL,"48367","3","1",NULL,"3"
"323","1030","105",NULL,NULL,"360000","3","1",NULL,"3"
"324","329","49",NULL,NULL,NULL,"3","1",NULL,"3"
"325","63","49",NULL,NULL,"25000","3","1",NULL,"3"
"326","212","158",NULL,NULL,"15000","3","1",NULL,"3"
"327","212","170",NULL,NULL,"381000","3","1",NULL,"3"
"328","1044","178",NULL,NULL,NULL,"3","1",NULL,"3"
"329","39","178",NULL,NULL,"4000","3","1",NULL,"3"
"330","1045","178",NULL,NULL,"10000","3","1",NULL,"3"
"331","1046","178",NULL,NULL,"100000","3","1",NULL,"3"
"332","1046","178",NULL,NULL,"113000","3","1",NULL,"3"
"333","39","178",NULL,NULL,"200000","3","1",NULL,"3"
"334","1000","178",NULL,NULL,"2500","3","1",NULL,"3"
"335","1048","179",NULL,NULL,"510000","3","1",NULL,"3"
"336","1049","179",NULL,NULL,"6000","3","1",NULL,"3"
"337","95","179",NULL,NULL,"1000","3","1",NULL,"3"
"338","94","179",NULL,NULL,"53000","3","1",NULL,"3"
"339","719","179",NULL,NULL,"123000","3","1",NULL,"3"
"340","910","179",NULL,NULL,"17000","3","1",NULL,"3"
"341","719","180",NULL,NULL,"150000","3","1",NULL,"3"
"342","1052","180",NULL,NULL,"5000","3","1",NULL,"3"
"343","1053","180",NULL,NULL,"80000","3","1",NULL,"3"
"344","160","102",NULL,NULL,"1500","3","1",NULL,"3"
"345","869","102",NULL,NULL,"1250","3","1",NULL,"3"
"346","869","102",NULL,NULL,"5250","3","1",NULL,"3"
"347","1022","108",NULL,NULL,"9302","3","1",NULL,"3"
"348","182","108",NULL,NULL,"2326","3","1",NULL,"3"
"349","1054","108",NULL,NULL,"3488","3","1",NULL,"3"
"350","488","108","500000","1000000",NULL,"3","1",NULL,"3"
"351","1022","124",NULL,NULL,"24000","3","1",NULL,"3"
"352","768","125",NULL,NULL,"200000","3","1",NULL,"3"
"353","192","2",NULL,NULL,"3510","3","1",NULL,"3"
"354","719","2",NULL,NULL,"122072","3","1",NULL,"3"
"355","219","2",NULL,NULL,"2500000","3","1",NULL,"3"
"356","771","2",NULL,NULL,"820333","3","1",NULL,"3"
"357","867","115",NULL,NULL,"180000","4","1",NULL,"3"
"358","712","469",NULL,NULL,"20000","6","1",NULL,"3"
"359","866","114",NULL,NULL,"233000","4","1",NULL,"3"
"360","773","375",NULL,NULL,"5500","2","1",NULL,"3"
"361","553","401",NULL,NULL,"70000","2","1",NULL,"3"
"362","500","56",NULL,NULL,"47315","5","1",NULL,"3"
"363","160","56",NULL,NULL,"284629","5","1",NULL,"3"
"364","1056","56",NULL,NULL,"201549","5","1",NULL,"3"
"365","1057","56",NULL,NULL,"444920","5","1",NULL,"3"
"366","1058","56",NULL,NULL,"880321","5","1",NULL,"3"
"367","937","56",NULL,NULL,"1390","5","1",NULL,"3"
"368","1060","343",NULL,NULL,"2000","2","1",NULL,"3"
"369","1022","383",NULL,NULL,"132210","2","1",NULL,"3"
"370","368","383",NULL,NULL,"132210","2","1",NULL,"3"
"371","160","477",NULL,NULL,"400","6","1",NULL,"3"
"372","974","477",NULL,NULL,"10500","6","1",NULL,"3"
"373","160","477",NULL,NULL,"2500","6","1",NULL,"3"
"374","890","477",NULL,NULL,"500","6","1",NULL,"3"
"375","553","405",NULL,NULL,"280000","2","1",NULL,"3"
"376","1082","405",NULL,NULL,"115000","2","1",NULL,"3"
"377","1083","405",NULL,NULL,"115000","2","1",NULL,"3"
"378","1062","433",NULL,NULL,"105000","2","1",NULL,"3"
"379","780","63",NULL,NULL,"5600000","5","1",NULL,"3"
"380","1022","63",NULL,NULL,"700000","5","1",NULL,"3"
"381","214","63",NULL,NULL,"1800000","5","1",NULL,"3"
"382","329","63",NULL,NULL,"1000000","5","1",NULL,"3"
"383","570","192",NULL,NULL,"138448","2","1",NULL,"3"
"384","570","192",NULL,NULL,"2018717","2","1",NULL,"3"
"385","570","192",NULL,NULL,"678380","2","1",NULL,"3"
"386","570","192",NULL,NULL,"337726","2","1",NULL,"3"
"387","570","192",NULL,NULL,"93900","2","1",NULL,"3"
"388","570","192",NULL,NULL,"236618","2","1",NULL,"3"
"389","570","192",NULL,NULL,"8395","2","1",NULL,"3"
"390","570","192",NULL,NULL,"48581","2","1",NULL,"3"
"391","149","432",NULL,NULL,"7890","2","1",NULL,"3"
"392","329","432",NULL,NULL,"41300","2","1",NULL,"3"
"393","1022","432",NULL,NULL,"60400","2","1",NULL,"3"
"394","382","432",NULL,NULL,"230000","2","1",NULL,"3"
"395","553","404",NULL,NULL,"130000","2","1",NULL,"3"
"396","1082","404",NULL,NULL,"20000","2","1",NULL,"3"
"397","1083","404",NULL,NULL,"350000","2","1",NULL,"3"
"398","553","407",NULL,NULL,"215000","2","1",NULL,"3"
"399","1082","407",NULL,NULL,"20000","2","1",NULL,"3"
"400","1083","407",NULL,NULL,"440000","2","1",NULL,"3"
"401","553","403",NULL,NULL,"1381600","2","1",NULL,"3"
"402","1082","403",NULL,NULL,"304100","2","1",NULL,"3"
"403","1083","403",NULL,NULL,"1603600","2","1",NULL,"3"
"404","897","411",NULL,NULL,"25000","2","1",NULL,"3"
"405","553","402",NULL,NULL,"1000000","2","1",NULL,"3"
"406","1082","402",NULL,NULL,"100000","2","1",NULL,"3"
"407","1083","402",NULL,NULL,"1200000","2","1",NULL,"3"
"408","553","406",NULL,NULL,"457633","1","1",NULL,"3"
"409","1082","406",NULL,NULL,"73128","2","1",NULL,"3"
"410","1083","406",NULL,NULL,"353423","2","1",NULL,"3"
"411","553","409",NULL,NULL,"810000","2","1",NULL,"3"
"412","1082","409",NULL,NULL,"70000","2","1",NULL,"3"
"413","1083","409",NULL,NULL,"1840000","2","1",NULL,"3"
"414","553","399",NULL,NULL,"1005000","2","1",NULL,"3"
"415","1082","399",NULL,NULL,"157000","2","1",NULL,"3"
"416","1083","399",NULL,NULL,"132000","2","1",NULL,"3"
"417","1067","394","1500","2000",NULL,"2","1",NULL,"3"
"418","223","394",NULL,NULL,"30","2","1",NULL,"3"
"419","225","394","20","40",NULL,"2","1",NULL,"3"
"420","270","394",NULL,NULL,"150","2","8",NULL,"3"
"421","270","394",NULL,NULL,"30000","2","1",NULL,"3"
"422","553","408",NULL,NULL,"345000","2","1",NULL,"3"
"423","1082","408",NULL,NULL,"377000","2","1",NULL,"3"
"424","1083","408",NULL,NULL,"1041000","2","1",NULL,"3"
"425","893","177",NULL,NULL,"30000","2","1",NULL,"3"
"426","229","196",NULL,NULL,"8400","2","1",NULL,"3"
"427","222","200",NULL,NULL,"1058775","2","1",NULL,"3"
"428","329","200",NULL,NULL,"502843","2","1",NULL,"3"
"429","329","256",NULL,NULL,"522839","2","1",NULL,"3"
"430","329","258",NULL,NULL,"184000","2","1",NULL,"3"
"431","1071","214",NULL,NULL,"12000000","2","1",NULL,"3"
"432","719","52",NULL,NULL,"4","14","1",NULL,"3"
"433","70","52",NULL,NULL,"0.5","14","1",NULL,"3"
"434","1072","52",NULL,NULL,"5","14","1",NULL,"3"
"435","149","52",NULL,NULL,"3.5","14","1",NULL,"3"
"436","878","52",NULL,NULL,"3.75","14","1",NULL,"3"
"437","719","52",NULL,NULL,"4.5","14","1",NULL,"3"
"438","929","52",NULL,NULL,"2.5","14","1",NULL,"3"
"439","341","52",NULL,NULL,"1.5","14","1",NULL,"3"
"440","1035","423",NULL,NULL,NULL,"1","1",NULL,"3"
"441","553","398",NULL,NULL,"969500","2","1",NULL,"3"
"442","1082","398",NULL,NULL,"675000","2","1",NULL,"3"
"443","1083","398",NULL,NULL,"478000","2","1",NULL,"3"
"444","254","397",NULL,NULL,"100000","2","1",NULL,"3"
"445","250","397",NULL,NULL,"32500","2","1",NULL,"3"
"446","253","397",NULL,NULL,"258000","2","1",NULL,"3"
"447","99","397",NULL,NULL,"21000","2","1",NULL,"3"
"448","1074","397",NULL,NULL,"43000","2","1",NULL,"3"
"449","1073","397",NULL,NULL,"17000","2","1",NULL,"3"
"450","1075","397",NULL,NULL,NULL,"1","1",NULL,"3"
"451","557","397",NULL,NULL,"1600","2","1",NULL,"3"
"452","382","397",NULL,NULL,"36000","2","1",NULL,"3"
"453","567","397",NULL,NULL,"40000","2","1",NULL,"3"
"454","914","397",NULL,NULL,"315000","2","1",NULL,"3"
"455","869","397",NULL,NULL,"30000","2","1",NULL,"3"
"456","869","397",NULL,NULL,"10000","2","1",NULL,"3"
"457","1129","528",NULL,NULL,"16100000","14","1",NULL,"3"
"458","1076","528",NULL,NULL,"3000000","14","1",NULL,"3"
"459","464","494",NULL,NULL,"1.2","2","1",NULL,"3"
"460","464","494",NULL,NULL,"1.4","2","1",NULL,"3"
"461","897","497",NULL,NULL,"20000","2","1",NULL,"3"
