"numrex","codereference","codepublic","codemonnaie","codetauxmonnaie","gainfinancierrex","gainfinancierperioderex","energierex","codeuniteenergie","codeperiodeenergie","codeenergierex","gesrex","ratiogainrex","trirex","capexrex","capexperioderex","opexrex","codeTechno1","codeTechno2","codeTechno3","codetravaux","codereseau","codelicense","availablelangue"
"1167","1958","2","3","3","171857","3","115","11","3","1",NULL,NULL,"8.4","1438102","2",NULL,"8","28","1","1","1","3","2,3,4"
"1168","1958","2","3","3","302997","3","5147","11","3","1",NULL,NULL,"5.7","1731903","2",NULL,"12","14","7","1","1","3","2,3,4"
"1169","1958","2","3","3","229177","3","2654","11","3","1",NULL,NULL,"7.8","1781699","2",NULL,"8","28","7","1","1","3","2,3,4"
"1170","1958","2","3","3","232005","3","9365","11","3","1",NULL,NULL,"6.7","1552210","2",NULL,"7","15","3","1","1","3","2,3,4"
"1171","1958","2","3","3","299928","3","14033","11","3","1",NULL,NULL,"8.3","2499308","2",NULL,"7","8","9","1","1","3","2,3,4"
"1172","1958","2","3","3","123958","3","2359","11","3","1",NULL,NULL,"8.5","1052874","2",NULL,"7","8","9","1","1","3","2,3,4"
"1173","1958","2","3","3","622066","3","5825","11","3","1",NULL,NULL,"11.5","7184545","2",NULL,"12","14","7","1","1","3","2,3,4"
"1174","1958","2","3","3","715664","3","31472","11","3","1",NULL,NULL,"7.8","5551616","2",NULL,"9","15","1","1","1","3","2,3,4"
"1175","1958","2","3","3","315353","3","8553","11","3","1",NULL,NULL,"9.1","2878227","2",NULL,"3","1","1","1","1","3","2,3,4"
"1176","1961","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"59000","2",NULL,"28","3","1","1","1","3","2,3,4"
"1178","1963","2","2","2",NULL,"1",NULL,"1","1","1","467","0.3",NULL,"1828000","2",NULL,"38","1","1","1","1","3","2,3,4"
"1179","1964","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"184000","2",NULL,"9","7","1","4","1","3","2,3,4"
"1180","1965","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"987000","2",NULL,"9","7","1","3","1","3","2,3,4"
"1181","1966","2","2","2","2625000","3",NULL,"1","1","1","14250",NULL,"10","27170000","2",NULL,"54","44","1","2","3","3","2,3,4"
"1183","1968","2","2","2",NULL,"1","120","12","1","1",NULL,NULL,NULL,"290000","2",NULL,"29","1","1","1","1","3","2,3,4"
"1184","1969","2","2","2",NULL,"1",NULL,"1","1","1","454",NULL,NULL,"1189824","2",NULL,"45","1","1","1","2","3","2,3,4"
"1185","1970","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"232689","2",NULL,"9","41","18","3","1","3","2,3,4"
"1186","1971","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"74000000","2",NULL,"54","1","1","1","1","3","2,3,4"
"1187","1972","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"2341076","2",NULL,"54","1","1","1","1","3","2,3,4"
"1188","1973","2","2","2",NULL,"1",NULL,"1","1","1","137",NULL,NULL,"346000","2",NULL,"50","1","1","1","1","3","2,3,4"
"1189","1974","2","2","2",NULL,"1","10","12","3","1",NULL,NULL,NULL,"132416","2",NULL,"39","1","1","2","1","3","2,3,4"
"1190","1975","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"363375","2",NULL,"19","1","1","1","1","3","2,3,4"
"1191","1976","3","2","2","172000","3",NULL,"1","1","2","3410",NULL,"7","819950","2",NULL,"44","33","1","3","3","3","2,3,4"
"1192","1977","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"952000","2",NULL,"19","1","1","2","1","3","2,3,4"
"1193","1978","3","2","2",NULL,"1","214","41","1","1",NULL,"0.74",NULL,"4259691","2",NULL,"9","29","1","3","3","3","2,3,4"
"1194","1979","3","2","2",NULL,"1","252","41","1","1","62","0.76",NULL,"1648642","2",NULL,"9","7","1","3","3","3","2,3,4"
"1195","1980","3","2","2",NULL,"1",NULL,"1","1","1",NULL,"0.55",NULL,"6204164","2",NULL,"9","1","1","3","1","3","2,3,4"
"1196","1981","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"1108444","2",NULL,"9","1","1","3","1","3","2,3,4"
"1197","1982","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"9778065","2",NULL,"4","1","1","2","3","3","2,3,4"
"1198","1983","3","2","2",NULL,"1",NULL,"1","1","1",NULL,"0.5",NULL,"378900","2",NULL,"9","8","1","2","3","3","2,3,4"
"1199","1984","3","2","2",NULL,"1","113476","5","3","1","83",NULL,NULL,"1770000","2",NULL,"41","45","9","2","2","3","2,3,4"
"1200","1985","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"2123000","2",NULL,"3","1","1","1","1","3","2,3,4"
"1201","1986","3","2","2","33772","3",NULL,"1","1","1","1000",NULL,"45","1519757","2",NULL,"38","1","1","1","1","3","2,3,4"
"1202","1987","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"1671126","2",NULL,"38","1","1","1","1","3","2,3,4"
"1203","1988","2","2","2",NULL,"1",NULL,"1","1","1","8000",NULL,NULL,"3877845","2",NULL,"38","1","1","2","1","3","2,3,4"
"1204","1989","2","2","2",NULL,"1",NULL,"1","1","1","1438",NULL,NULL,"11900000","2",NULL,"38","45","15","3","2","3","2,3,4"
"1205","1990","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"839246","2",NULL,"3","19","1","1","1","3","2,3,4"
"1206","1991","3","2","2","7000","3","3500","9","3","1",NULL,NULL,"10","137811","2",NULL,"30","1","1","3","1","3","2,3,4"
"1207","1992","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"8843355","2",NULL,"19","9","1","2","1","3","2,3,4"
"1208","1993","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"328350","2",NULL,"19","1","1","1","1","3","2,3,4"
"1209","1994","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"8338961","2",NULL,"28","1","1","2","1","3","2,3,4"
"1210","1995","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"8832692","2",NULL,"9","29","1","2","1","3","2,3,4"
"1211","1996","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"1925709","2",NULL,"38","50","1","1","1","3","2,3,4"
"1212","1997","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"1613677","2",NULL,"9","19","1","2","1","3","2,3,4"
"1213","1998","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"682254","2",NULL,"19","1","1","2","1","3","2,3,4"
"1214","1999","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"2550000","2",NULL,"9","1","1","2","1","3","2,3,4"
"1215","2000","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"122077","2",NULL,"19","1","1","2","1","3","2,3,4"
"1216","2001","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"2700000","2",NULL,"19","1","1","3","1","3","2,3,4"
"1217","2002","3","2","2",NULL,"1","89","41","1","1",NULL,"0.38",NULL,"1131203","2",NULL,"9","7","1","3","1","3","2,3,4"
"1218","2003","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"554400","2",NULL,"9","19","1","3","1","3","2,3,4"
"1219","2004","3","3","3","29000","3","417328","5","3","2",NULL,"0.354","2.8","175034","2",NULL,"19","1","1","3","3","3","2,3,4"
"1220","2005","3","3","3","350","3",NULL,"1","1","2",NULL,"0.66","2","700","2",NULL,"8","1","1","3","1","3","2,3,4"
"1221","2005","3","3","3","19000","3",NULL,"1","1","3",NULL,NULL,"4","76000","2",NULL,"12","1","1","3","1","3","2,3,4"
"1222","2005","3","3","3","56750","3","34000","5","3","2",NULL,NULL,"4","227000","2",NULL,"45","1","1","2","2","3","2,3,4"
"1223","2006","3","3","3","2000000","3","44000000","5","3","2",NULL,NULL,"2.35","9200000","2",NULL,"15","16","11","3","1","3","2,3,4"
"1224","2007","3","3","3",NULL,"1","6816844","5","3","1",NULL,NULL,NULL,"568419","2","131321","25","21","1","4","1","3","2,3,4"
"1225","2008","3","3","3","307000","3","4400000","5","3","2",NULL,"0.6","2","819000","2",NULL,"8","1","1","3","1","3","2,3,4"
"1226","2009","3","3","3","94409","3","1787221","5","3","2","679",NULL,NULL,"385095","2",NULL,"8","19","11","4","1","3","2,3,4"
"1227","2010","2","3","3","30141","3","724086","5","3","1",NULL,NULL,"7.6","230020","2",NULL,"29","12","18","2","2","3","2,3,4"
"1228","2011","2","3","3","28675","3","416423","5","3","2",NULL,"0.5","1.5","73554","2",NULL,"8","1","1","3","1","3","2,3,4"
"1229","2011","2","3","3","1794","3","23653","5","3","2","9","0.56","4.75","12076","2",NULL,"8","1","1","3","1","3","2,3,4"
"1230","2012","3","3","3","715","3",NULL,"1","1","2",NULL,NULL,"3","4278","2",NULL,"16","1","1","2","1","3","2,3,4"
"1231","2012","3","3","3","2300","3",NULL,"1","1","2",NULL,NULL,"3","14000","2",NULL,"16","1","1","2","1","3","2,3,4"
"1232","2012","3","3","3","1418","3",NULL,"1","1","2",NULL,NULL,"5","12587","2",NULL,"16","1","1","1","1","3","2,3,4"
"1233","2013","3","3","3","2000","3","57000","5","3","2",NULL,NULL,"3","11760","2",NULL,"18","1","1","3","1","3","2,3,4"
"1234","2014","3","3","3","82400","3","340000","5","3","2",NULL,NULL,"2","164772","2",NULL,"19","18","1","1","1","3","2,3,4"
"1235","2015","3","3","3","35121","3","524187","5","3","2",NULL,NULL,"1.5","131885","2",NULL,"6","1","1","2","1","3","2,3,4"
"1236","2016","3","3","3","10817","3","191762","5","3","2",NULL,NULL,"8.7","94515","2",NULL,"7","6","1","3","1","3","2,3,4"
"1237","2016","3","3","3","9901","3","147776","5","3","2",NULL,NULL,"10.3","101796","2",NULL,"3","1","1","2","1","3","2,3,4"
"1238","2017","3","3","3","1560","3","39741","5","3","3",NULL,NULL,"4","63903","2",NULL,"30","1","1","2","1","3","2,3,4"
"1239","2018","2","3","3","205959","3","1856248","5","3","2",NULL,NULL,"5","1288252","2",NULL,"7","8","1","4","3","3","2,3,4"
"1240","2019","2","3","3","22083","3","21039","23","3","3",NULL,"0.1","8.4","184799","2",NULL,"9","12","1","3","1","3","2,3,4"
"1241","2019","3","3","3","7423","3","7008","23","3","3",NULL,"0.21","17.9","132985","2",NULL,"12","1","1","3","3","3","2,3,4"
"1242","2019","3","3","3","5045","3","870","23","3","3",NULL,NULL,"2.1","10555","2",NULL,"29","21","1","3","3","3","2,3,4"
"1243","2020","2","3","3","30081","3",NULL,"1","1","1",NULL,NULL,NULL,"99681","2",NULL,"7","24","45","1","2","3","2,3,4"
"1244","2021","3","3","3","253680","3","3725224","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"18","14","16","3","1","3","2,3,4"
"1245","2022","3","3","3","159413","3","2207012","5","3","1","826",NULL,"5.3","848960","2",NULL,"14","11","12","3","3","3","2,3,4"
"1246","2023","3","3","3","227805","3","3254359","5","3","2","1237",NULL,NULL,NULL,"1",NULL,"11","14","8","1","1","3","2,3,4"
"1247","2024","3","3","3","63315","3","761370","5","3","2",NULL,NULL,NULL,"396828","2",NULL,"18","8","11","3","3","3","2,3,4"
"1248","2025","3","3","3",NULL,"1","712132","5","3","2","270","0.67",NULL,"57809","2",NULL,"18","1","1","3","3","3","2,3,4"
"1249","2026","3","3","3","3216","3","44678","5","3","2","17",NULL,NULL,"30639","2",NULL,"11","1","1","1","1","3","2,3,4"
"1250","2026","3","3","3","5600","3","77787","5","3","2","30",NULL,"8.9","50000","2",NULL,"11","1","1","3","3","3","2,3,4"
"1251","2027","3","3","3","6145","3","79208","5","3","1",NULL,NULL,NULL,NULL,"1",NULL,"11","7","8","2","3","3","2,3,4"
"1252","2028","3","3","3","37853","3","970591","5","3","2",NULL,"0.44","5.7","344529","2",NULL,"8","1","1","3","1","3","2,3,4"
"1253","2029","3","3","3","6399","3","108167","5","3","2",NULL,NULL,"3.5",NULL,"1",NULL,"14","8","1","3","1","3","2,3,4"
"1254","2029","3","3","3","45699","3",NULL,"1","1","1",NULL,NULL,"1.4","182467","2",NULL,"8","1","1","3","1","3","2,3,4"
"1255","2033","3","3","3","29799","3","590490","5","3","2","224",NULL,"4.9","146009","2",NULL,"14","8","1","4","3","3","2,3,4"
"1256","2030","3","3","3","25111","3","518822","5","3","2","197","0.21","2.3","116305","2",NULL,"14","1","1","2","3","3","2,3,4"
"1257","2031","3","3","3","900","3",NULL,"1","1","1",NULL,NULL,"7",NULL,"1",NULL,"11","1","1","3","3","3","2,3,4"
"1258","2031","3","3","3","1878","3",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"11","1","1","3","3","3","2,3,4"
"1259","2032","3","3","3","2640","3","37746","5","3","2",NULL,NULL,"2.9","7711","2",NULL,"15","1","1","3","1","3","2,3,4"
"1260","2032","3","3","3","3801","3","55269","5","3","2",NULL,NULL,"3.2","12200","2",NULL,"8","1","1","3","3","3","2,3,4"
"1261","2032","3","3","3","8013","3",NULL,"1","1","1","224",NULL,"2.4","19220","2",NULL,"8","1","1","3","3","3","2,3,4"
"1262","2034","3","3","3","112770","3","285194","5","3","2",NULL,NULL,NULL,"1686720","2",NULL,"12","7","9","3","1","3","2,3,4"
"1263","2034","3","3","3","29485","3","128713","5","3","2",NULL,NULL,NULL,"581499","2",NULL,"9","8","1","1","1","3","2,3,4"
"1264","2035","3","3","3","42000","3",NULL,"1","1","1",NULL,"0.27",NULL,"25000000","2",NULL,"7","9","8","2","3","3","2,3,4"
"1265","2036","2","3","3",NULL,"1","47612","5","3","2",NULL,"0.57",NULL,NULL,"1",NULL,"9","7","8","3","3","3","2,3,4"
"1266","2037","3","3","3","17300","3",NULL,"1","1","1",NULL,NULL,"17.9","309839","2",NULL,"41","1","1","2","3","3","2,3,4"
"1267","2038","3","3","3","34972","3","566237","5","3","1",NULL,"0.25",NULL,NULL,"1",NULL,"45","24","7","1","2","3","2,3,4"
"1268","2039","3","3","3",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"7","17","16","1","1","3","2,3,4"
"1269","2040","3","3","3","80000","3","1247832","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"8","1","1","3","3","3","2,3,4"
"1270","2041","3","3","3",NULL,"1","33279","5","3","1",NULL,"0.21",NULL,NULL,"1",NULL,"9","7","8","3","3","3","2,3,4"
"1271","2042","3","3","3","9256","3","252076","5","3","1",NULL,NULL,"9.4","87000","2",NULL,"8","7","12","2","1","3","2,3,4"
"1272","2043","3","3","3","21436","3","613037","5","3","1","141",NULL,NULL,"6600","2",NULL,"7","1","1","3","1","3","2,3,4"
"1273","2044","3","3","3","26624","3",NULL,"1","1","1",NULL,NULL,"3.7","98501","2",NULL,"7","8","1","3","3","3","2,3,4"
"1274","2044","3","3","3","54858","3",NULL,"1","1","1",NULL,NULL,"6","327440","2",NULL,"7","1","1","3","3","3","2,3,4"
"1275","2045","3","3","3","1100000","3","17340661","5","3","1",NULL,NULL,"9.1","10000000","2",NULL,"8","7","12","3","3","3","2,3,4"
"1276","2046","3","3","3",NULL,"1","120000","5","3","2",NULL,NULL,"7","650000","2",NULL,"45","1","1","2","2","3","2,3,4"
"1277","2047","3","3","3","126137","3","1757132","5","3","2","668",NULL,"4.1","520909","2",NULL,"11","8","14","3","3","3","2,3,4"
"1278","2048","3","3","3","143837","3","2021857","5","3","2","768",NULL,NULL,NULL,"1",NULL,"14","24","11","3","3","3","2,3,4"
"1279","2055","2","3","3","133000","3","2100","12","3","1",NULL,"0.56","0.9","120000","2",NULL,"8","1","1","1","1","3","2,3,4"
"1280","2056","2","3","3",NULL,"1","1070","12","2","2","800",NULL,NULL,"500000","2",NULL,"45","8","1","1","1","3","2,3,4"
"1281","2057","2","3","3",NULL,"1","7400","12","1","1","6437","0.34",NULL,"4670000","2",NULL,"9","29","8","3","1","3","2,3,4"
"1282","2058","2","3","3",NULL,"1","388000","12","3","1",NULL,"0.26",NULL,"27400000","2",NULL,"7","9","1","3","1","3","2,3,4"
"1283","2059","2","2","2","1430000","3","13000","12","3","1","3400",NULL,"0.2","227600","2",NULL,"9","1","1","1","1","3","2,3,4"
"1284","2060","2","3","3","1200000","1",NULL,"1","1","1",NULL,"0.1",NULL,"126550","2",NULL,"9","29","1","1","1","3","2,3,4"
"1285","2061","2","3","3","10000000","3","68640","12","1","1","40500","0.4","5.7","56900000","2",NULL,"8","1","1","1","1","3","2,3,4"
"1286","2062","2","3","3","2660000","3","4750","12","3","1",NULL,"0.27","1.9","5300000","2",NULL,"30","16","1","1","1","3","2,3,4"
"1287","2063","2","3","3","380000","3","4900","12","3","1","2880","0.8","5.8","2200000","2",NULL,"8","1","1","3","1","3","2,3,4"
"1288","2064","2","3","3","12900000","3","870","3","3","1",NULL,NULL,"7","90600000","2",NULL,"7","1","1","1","1","3","2,3,4"
"1289","2065","2","3","3","6000000","3",NULL,"1","1","1","840000",NULL,NULL,NULL,"2",NULL,"49","1","1","1","1","3","2,3,4"
"1290","2066","3","3","3","36200000","3","128","3","2","2",NULL,NULL,NULL,"6900000","2",NULL,"33","1","1","3","2","3","2,3,4"
"1291","2067","2","3","3","234000","3","1400","12","3","1",NULL,NULL,"4","1030000","2",NULL,"16","1","1","3","1","3","2,3,4"
"1292","2068","2","3","3","3800000","3","14000","12","3","1",NULL,"0.8","0.25","800000","2",NULL,"16","1","1","3","1","3","2,3,4"
"1293","2069","2","3","3","8260000","3","71000","12","3","1",NULL,"0.075","3.5","28910000","2",NULL,"16","28","1","3","1","3","2,3,4"
"1294","2070","3","2","2","12750","3","22","12","1","1",NULL,NULL,NULL,"217400","2",NULL,"45","1","1","1","2","3","2,3,4"
"1295","2071","3","2","2","1167000","3","1850","12","3","2","1500",NULL,"6","7000000","2",NULL,"44","38","1","3","2","3","2,3,4"
"1296","2072","3","2","2","668000","3","2000","14","3","1","19000",NULL,"5","3850000","2",NULL,"33","7","1","3","2","3","2,3,4"
"1297","2073","3","2","2","5870","3","36","14","1","1",NULL,NULL,"2.17","120000","2",NULL,"14","1","1","1","1","3","2,3,4"
"1298","2074","3","2","2",NULL,"1","25","12","3","1","2.3",NULL,"9","184000","2",NULL,"45","1","1","1","2","3","2,3,4"
"1301","2077","3","3","3","252000","3",NULL,"1","1","1",NULL,NULL,"1.3","328000","2",NULL,"16","18","11","3","1","3","2,3,4"
"1302","2078","2","3","3","240000","3","1340","12","3","2",NULL,NULL,"3.1","750000","2",NULL,"8","1","1","3","1","3","2,3,4"
"1303","2079","2","3","3","10000000","3","60000000","5","3","2","26000",NULL,NULL,NULL,"1",NULL,"8","1","1","3","1","3","2,3,4"
"1304","2080","2","3","3","60000","1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"3","18","49","3","1","3","2,3,4"
"1305","2081","2","3","3",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"600000","2",NULL,"34","1","1","2","1","3","2,3,4"
"1306","2082","3","1","1",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"3","24","19","3","1","3","2,3,4"
"1307","2083","2","1","1",NULL,"1",NULL,"1","1","1",NULL,"0.36",NULL,NULL,"1",NULL,"8","3","1","4","1","3","2,3,4"
"1308","2084","2","3","3","80000","3",NULL,"1","1","1",NULL,"0.5","15","1200000","2",NULL,"41","1","1","3","3","3","2,3,4"
"1309","2085","3","3","3","260400","3",NULL,"1","1","1","1100","0.5",NULL,NULL,"1",NULL,"41","1","1","3","3","3","2,3,4"
"1310","2086","3","3","3","85000","3",NULL,"1","1","1",NULL,"0.53",NULL,"18500000","2",NULL,"8","7","45","2","2","3","2,3,4"
"1311","2087","3","3","3",NULL,"1",NULL,"1","1","1",NULL,"0.19",NULL,"6300000","2",NULL,"8","45","1","2","2","3","2,3,4"
"1312","2088","2","3","3","10000","3",NULL,"1","1","1",NULL,"0.35",NULL,NULL,"1",NULL,"7","9","1","2","3","3","2,3,4"
"1313","2089","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1314","2092","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1315","2092","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1316","2094","3","2","2",NULL,"1","390037","14","2","1","6715",NULL,NULL,NULL,"1",NULL,"32","1","1","2","2","3","2,3,4"
"1317","2089","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"27253000","2",NULL,"32","1","1","1","2","3","2,3,4"
"1318","2089","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1319","2092","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1320","2093","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"15000000","1",NULL,"32","1","1","2","2","3","2,3,4"
"1321","2090","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1322","2091","3","2","2",NULL,"1",NULL,"1","1","1","9600",NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1323","2091","3","2","2",NULL,"1",NULL,"1","1","1","9600",NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1324","2091","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1325","2093","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1326","2093","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1327","2093","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1328","2095","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"57500000","2",NULL,"32","1","1","2","2","3","2,3,4"
"1329","2096","2","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1330","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1331","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1332","2098","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1333","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1334","2099","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1335","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1336","2102","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1337","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1338","2100","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1339","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1340","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1341","2101","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1342","2098","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1343","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1344","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1345","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1346","2098","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1347","2098","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1348","2101","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1349","2097","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"32","1","1","1","2","3","2,3,4"
"1350","2108","3","2","2",NULL,"1",NULL,"1","1","3",NULL,"0.15",NULL,"1000000","2",NULL,"24","25","1","3","1","3","2,3,4"
"1351","2109","3","2","2",NULL,"1","7070000","5","2","1",NULL,NULL,NULL,NULL,"1",NULL,"24","25","45","1","2","3","2,3,4"
"1352","2110","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"24","45","44","1","2","3","2,3,4"
"1353","2111","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"19","18","24","3","1","3","2,3,4"
"1354","2112","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"21","20","25","1","1","3","2,3,4"
"1355","2113","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"38","44","24","3","3","3","2,3,4"
"1356","2114","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"44","1","1","2","3","3","2,3,4"
"1357","2115","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"38","20","1","1","1","3","2,3,4"
"1358","2116","3","3","3","288000","3","5716000","1","1","1",NULL,NULL,"1","278000","2",NULL,"11","1","1","3","1","3","2,3,4"
"1359","2117","3","13","13",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"24","30","1","3","1","3","2,3,4"
"1360","2118","3","3","3",NULL,"1",NULL,"1","1","1",NULL,"0.33",NULL,NULL,"1",NULL,"54","1","1","2","1","3","2,3,4"
"1361","2119","3","2","2",NULL,"1",NULL,"1","1","1","6500",NULL,NULL,"700000","2",NULL,"44","33","1","3","1","3","2,3,4"
"1362","2120","3","3","3",NULL,"1",NULL,"1","1","1",NULL,"1",NULL,NULL,"1",NULL,"38","1","1","3","1","3","2,3,4"
"1363","2121","3","2","2",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"19","1","1","1","1","3","2,3,4"
