"codelangue","codeappelobjet","traductiondictionnaire"
"3","12","Pre-cooling of the product"
"3","12","Refroidissement à T extérieur ou avec de l'eau de distribution avant de l'introduire dans la chambre froide"
"4","12","Pre-enfriar el producto"
"4","12","Refroidissement à T extérieur ou avec de l'eau de distribution avant de l'introduire dans la chambre froide"
"2","13","Meuble frigorifique de type vertical avec uniquement éclairage en fronton"
"2","13","<p>Eteindre l'éclairage intérieur ou lors du rétrofit, choisir des meubles avec éclairage en fronton seulement. Les élcairages des meubles frigorifiques sont généralement largements surdimensionnés.</p>
<p style=""text-align: justify;"">L’unique éclairage en fronton des produits permet d’économiser de l’énergie mais aussi évite de réchauffer les produits. </p>"
"3","13","Refrigerated cabinet vertical type with only lighting pediment"
"3","13","Eteindre l'éclairage intérieur ou lors du rétrofit, choisir des meubles avec éclairage en fronton seulement."
"4","13","Mueble frigorífico de tipo vertical únicamente con iluminación en frontón "
"4","13","Eteindre l'éclairage intérieur ou lors du rétrofit, choisir des meubles avec éclairage en fronton seulement."
"2","16","Séparation du dégivrage d'un meuble frigorifique en plusieurs parties"
"2","16","Acheter de nouveaux meubles frigorifiques (fournisseurs: bonne neve, Chief, Koxka, …) pré-équipés ou configurer la GTC pour que le dégivrage soit effectué module par module. En pratique, les meubles frigorifiques sont constitués de modules (2 à 4) mit bout"
"3","16","Separation of defrosting a refrigeration appliance into several parts"
"3","16","Acheter de nouveaux meubles frigorifiques (fournisseurs: bonne neve, Chief, Koxka, …) pré-équipés ou configurer la GTC pour que le dégivrage soit effectué module par module. En pratique, les meubles frigorifiques sont constitués de modules (2 à 4) mit bout"
"4","16","Separación del deshielo de un mueble frigorífico en varias partes"
"4","16","Acheter de nouveaux meubles frigorifiques (fournisseurs: bonne neve, Chief, Koxka, …) pré-équipés ou configurer la GTC pour que le dégivrage soit effectué module par module. En pratique, les meubles frigorifiques sont constitués de modules (2 à 4) mit bout"
"2","18","Free cooling par tour à vent"
"2","18","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">On appelle ce système « refroidissement gratuit » car l’air extérieur ou l’eau (rivière, mer) naturellement froids sont utilisés pour refroidir un bâtiment ou un procédé industriel à la place d’un groupe frigorifique. </P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Plusieurs techniques sont utilisées pour profiter du free cooling : </P>
<UL>
<LI style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Pompe à eau : les rivières, nappes phréatiques ou autres apportent une source de fraicheur facilement utilisable.</LI>
<LI style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Ventilation mécanique : l’apport d’air neuf est régulé par une centrale de traitement de l’air.</LI>
<LI style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Ventilation naturelle : la différence de pression entre l’air frais extérieur et l’air chaud intérieur permet un mouvement d’air naturel pour une ventilation sans bruit ni consommation électrique.&nbsp;</LI>
<LI style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Tour à Vent : la force du vent est captée en haut de la tour ce qui crée un mouvement d’air et un effet d’aspiration de l’air frais des sous-sols, qui rafraîchi la pièce. </LI></UL>"
"4","18","Puesta en marcha del enfriamiento libre"
"4","18","Mise en place de free cooling"
"2","19","Free chilling d'un réseau d'eau glacée"
"2","19","<P>Des économies d'énergie peuvent être faites en refroidissant directement le circuit d'eau glacée par l'air extérieur lorsque la température extérieure descend sous la température de consigne. Pour cela, on installe un aéroréfrigérant en parallèle du circuit frigorifique, en amont des compresseurs froids. Lorsque la température extérieure est proche de la consigne, il est mis en route pour pré-refroidir la boucle d’eau et limiter la partie apportée par les compresseurs.</P>"
"3","19","Free chilling a chilled water network"
"3","19","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Energy savings can be made by directly cooling the chilled water circuit from the outside air when the outside temperature drops below the set temperature. To do this, install a cooling tower in parallel refrigerant circuit upstream of the cold compressors. When the outside temperature is close to the set, it is set out to pre-cool the water loop and limit the portion paid by the compressors.</P>"
"4","19","Enfriamiento gratuito de una red de agua helada"
"4","19","Los ahorros de energía pueden ser hechos enfriando directamente el circuito de agua helada mediante el aire exterior cuando la temperatura exterior desciende por debajo de la temperatura de consigna. Por esto, se instala una torre de enfriamiento en paralelo del circuito frigorífico, encima de los compresores fríos. 
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Cuando la temperatura exterior está próxima a la de cosigna, se pone en marcha para pre enfriar el bucle de agua y limitar la parte aportada por los compresores.</P>"
"2","20","Rafraichissement solaire"
"2","20","<P style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">Installation d'un groupe froid fonctionnant à l'énergie solaire. Il existe deux types de technologies : </P>
<UL>
<LI style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">Technologie à système fermé (machine à adsorption ou absorption) :</LI></UL>
<P style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">L'énergie solaire est captée et stockée (dans un matériau à changement de phase), elle permet ensuite la production de froid grâce à un cycle d'absorption (fluide : NH3 ou LiBr) ou adsorption. L'eau glacée&nbsp;créée est stockée afin d'être utilisée si besoin pour la déshumidification ou le refroidissement de l'air ambiant. </P>
<UL>
<LI style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">Technologie à système ouvert : </LI></UL>
<P style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">Dans cette technologie, l'air est directement en contact avec le fluide frigorigène (eau). Cela est plutôt utilisé pour le refroidissement par évaporation.&nbsp;Lors de l'évaporation de l'eau, celle-ci puise des calories dans l'air ambiant, l'atmosphère est refroidie. &nbsp;Le système le plus souvent utilisé est une roue à dessication rotative. </P>"
"3","20","Solar cooling"
"3","20","Rafraichissement solaire"
"4","20","Refrigeración solar"
"4","20","Rafraichissement solaire"
"2","21","Contrôle de l'état du calorifugeage du circuit froid et réparer si nécessaire."
"2","21","Vérifier et réparer le calorifugeage et augmentation du diamètre si nécessaire. "
"3","21","State control of the thermal insulation of the cooling circuit and repair if necessary."
"3","21","Vérifier et réparer le calorifugeage et augmentation du diamètre si nécessaire. "
"4","21","Controlar el estado de aislamiento del circuito de refrigeración y reparar si es necesario."
"4","21","Vérifier et réparer le calorifugeage et augmentation du diamètre si nécessaire. "
"2","22","Vérification et remplacement du calorifugeage des chambres froides"
"2","22","Isolation plus épaisse
Vérifier que la conductivité du calorifugeage est basse (0,016 à 0,023 W/m.K). Vérifier l'épaisseur compte tenu de l'écart de température entre l'intérieur et l'extérieur de la chambre (le flux thermique doit être compris entre 6 et"
"3","22","Checking and replacing the insulation of cold rooms"
"3","22","Isolation plus épaisse
Vérifier que la conductivité du calorifugeage est basse (0,016 à 0,023 W/m.K). Vérifier l'épaisseur compte tenu de l'écart de température entre l'intérieur et l'extérieur de la chambre (le flux thermique doit être compris entre 6 et"
"4","22","Comprobación y sustitución del aislamiento de las cámaras frigoríficas"
"4","22","Isolation plus épaisse
Vérifier que la conductivité du calorifugeage est basse (0,016 à 0,023 W/m.K). Vérifier l'épaisseur compte tenu de l'écart de température entre l'intérieur et l'extérieur de la chambre (le flux thermique doit être compris entre 6 et"
"2","23","Diminution des distances de tuyauteries"
"2","23","<p>De longues distances impliquent des pertes de charges &eacute;lev&eacute;es dans le r&eacute;seau. Minimiser la distance entre les installations frigorifiques et les sites de consommation permettrait alorsde r&eacute;duire les pertes en ligne (thermiques et pertes de charge).</p>
<p>&nbsp;</p>
<p><br />Il est possible de chiffrer les pertes de charges. Sont distingu&eacute;es :</p>
<ul>
<li style=""text-align: justify;"">les pertes lin&eacute;aires dues aux tuyauteries en elles-m&ecirc;mes (longueur et rugosit&eacute; du tube) ;</li>
<li style=""text-align: justify;"">les pertes singuli&egrave;res dues aux accidents du r&eacute;seau (coudes, vannes...).</li>
</ul>
<p style=""text-align: justify;"">&nbsp;</p>"
"3","23","Decrease distances pipes."
"3","23","De longues distances impliquent des pertes de charges élevées dans le réseau"
"4","23","Disminuir las distancias de las tuberías."
"4","23","De longues distances impliquent des pertes de charges élevées dans le réseau"
"2","24","Programme de maintenance performant"
"2","24","Nettoyer les boucles de refroidissements plusieurs fois par an, vérifier l'étanchéité de l'installation (joint de portes de chambre froides …)"
"3","24","Program of efficient service"
"3","24","Nettoyer les boucles de refroidissements plusieurs fois par an, vérifier l'étanchéité de l'installation (joint de portes de chambre froides …)"
"4","24","Poner en marcha un programa de mantenimiento eficiente"
"4","24","Nettoyer les boucles de refroidissements plusieurs fois par an, vérifier l'étanchéité de l'installation (joint de portes de chambre froides …)"
"2","25","Optimisation des dégivrages des évaporateurs"
"2","25","<p style=""text-align: justify;"">Il est préférable de changer les commandes de dégivrage (initialement via une horloge). Le démarrage peut être programmé selon de multiples critères :</p>
<ul style=""text-align: justify;"">
<li>mesure du saut de T à l'évaporateur,</li>
<li>mesure de l'accumulation de givre,</li>
<li>mesure du taux d'humidité...</li>
</ul>
<p style=""text-align: justify;"">Il existe plusieurs moyens de dégivrer un évaporateur :</p>
<ul>
<li style=""text-align: justify;"">Dégivrage à air : Utilisation des ventilateurs après l’arrêt du groupe frigorifique. </li>
<li style=""text-align: justify;"">Injection de gaz chauds :Réutilisation de la chaleur de condensation. </li>
<li style=""text-align: justify;"">Résistance électrique : Procédé le plus fréquemment utilisé. Faible encombrement, installation simple et coût d’installation bas.  </li>
<li style=""text-align: justify;"">Inversion de cycle : Dégivrage possible même avec une température de milieu extérieure négative.<br /><br /></li>
</ul>"
"3","25","Optimization defrosting evaporators"
"3","25","Changement des commandes de dégivrage (initialement horloge): démarrage selon de multiples critères : mesure du saut de T à l'évaporateur, mesure de l'accumulation de givre, mesure du taux d'humidité"
"4","25","Optimización de la descongelación "
"4","25","Changement des commandes de dégivrage (initialement horloge): démarrage selon de multiples critères : mesure du saut de T à l'évaporateur, mesure de l'accumulation de givre, mesure du taux d'humidité"
"2","26","Ecart de température optimisé à l'évaporateur"
"2","26","<p>V&eacute;rifier l'&eacute;cart de temp&eacute;rature entre le fluide frigo et le produit refroidi (air ou eau). Si cet &eacute;cart est sup&eacute;rieur &agrave; 7&deg;C :</p>
<ul>
<li>v&eacute;rifier si le d&eacute;givrage est ad&eacute;quat,</li>
<li>envisager d'augmenter la surface d'&eacute;change,</li>
<li>envisager un pr&eacute;-refroidissement,</li>
<li>v&eacute;rifier un manque de charge,</li>
<li>V&eacute;rifier une pr&eacute;-d&eacute;tente sur la ligne liquide ou une d&eacute;tente insuffisante. <br /><br /></li>
</ul>"
"3","26","Spread optimized temperature to the evaporator"
"3","26","<P>Vérifier l'écart de température entre le fluide frigo et le produit refroidi (air ou eau). Si cet écart est supérieur à 7°C :</P>
<UL>
<LI>vérifier si le dégivrage est adéquat,</LI>
<LI>envisager d'augmenter la surface d'échange,</LI>
<LI>envisager un pré-refroidissement</LI></UL>"
"4","26","Comprobar la diferencia de temperatura en el evaporador"
"4","26","<P>Vérifier l'écart de température entre le fluide frigo et le produit refroidi (air ou eau). Si cet écart est supérieur à 7°C :</P>
<UL>
<LI>vérifier si le dégivrage est adéquat,</LI>
<LI>envisager d'augmenter la surface d'échange,</LI>
<LI>envisager un pré-refroidissement</LI></UL>"
"2","27","Contrôle du traitement de l'eau des condenseurs de type évaporatif et des tours de refroidissement"
"2","27","<P>Le traitement de l'eau est important et ne doit pas être négligé.&nbsp;Un traitement d'eau qui n'est pas suivi entraînera une corrosion rapide des condenseurs et des tours de refroidissement ainsi qu'un encrassement qui aura pour conséquence une augmentation de la température de condensation.</P>
<P>Pour éviter cela, des procédures de vérification régulière&nbsp;peuvent être mises en en place. Ces vérifications analyseront la performance du traitement de l'eau. Il est important que des actions correctives soient mises en place une fois l'encrassement identifé.&nbsp;</P>"
"3","27","Control of water treatment evaporative condensers type and cooling towers"
"3","27","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The water treatment is important and should not be overlooked. A water treatment that is not followed cause rapid corrosion of condensers and cooling towers as well as dirt which will result in an increase in the condensation temperature.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">To avoid this, regular verification procedures can be set up. These checks analyze the performance of water treatment. It is important that corrective actions are implemented once fouling identifed.</P>"
"4","27","Control del tratamiento de agua de los condensadores de tipo evaporativo y de torres de enfriamiento"
"4","27","<P>El tratamiento de agua es importante y no debe ser despreciable. Un tratamiento de agua que no tenga un seguimiento conllevará una corrosión rápida de los condensadores y de las torres de enfriamiento así como el ensuciamiento que se traducirá en un aumento de la temperatura de condensación.</P>
<P>Para evitar esto, los procesos de verificación regulares pueden ser puestos en marcha. Estas verificaciones analizarán los rendimientos del tratamiento del agua. Es importante que las acciones correctivas sean puestas en marcha una vez el problema sea identificado.</P>"
"2","29","Nettoyage des condenseurs et autres échangeurs"
"2","29","<p>L'encrassement des condenseurs provoque une augmentation de la température de condensation engendrant une surconsommation. En effet, si le condenseur s’encrasse, les échanges thermiques entre le réfrigérant et l’ambiance sont diminués. Pour évacuer la chaleur requise, le compresseur devra alors évaporer le fluide à une température plus élevée, nécessitant une consommation électrique supplémentaire.</p>"
"3","29","Cleaning condensers and other heat exchangers"
"3","29","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The clogging causes an increase in condenser temperature causing condensation overconsumption. Indeed, if the condenser is dirty, heat exchange between the refrigerant and the atmosphere are reduced. Required for discharging the heat, the compressor will then evaporate the fluid at a higher temperature, requiring additional power consumption.</P>"
"4","29","Limpieza de condensadores y otros intercambiadores"
"4","29","<P>El ensuciamiento de los condensadores provoca un aumento de la temperatura de condensación que genera un sobre consumo. En efecto, si el condensador se ensucia, los intercambios térmicos entre el refrigerante y ambiente disminuyen. Para evacuar el calor requerido, el compresor deberá entonces evaporar el fluido a una temperatura más elevada, que necesita un consumo eléctrico suplementario.</P>"
"2","32","Réparation des fuites, tuyauteries, et changement des joints"
"2","32","Vérifier les fuites et réparer les tuyauteries, changer les joints"
"3","32","Repair leaks, pipes, joints and change"
"3","32","Vérifier les fuites et réparer les tuyauteries, changer les joints"
"4","32","Verificar las fugas y reparar las tuberías, cambiar las juntas"
"4","32","Vérifier les fuites et réparer les tuyauteries, changer les joints"
"2","33","Ouverture des portes des zones froides minimisée"
"2","33","Surveillez l'ouverture des portes des zones froides"
"3","33","Doors open cold areas minimized"
"3","33","Surveillez l'ouverture des portes des zones froides"
"4","33","Vigile la apertura de las puertas de las zonas frías"
"4","33","Surveillez l'ouverture des portes des zones froides"
"2","34","Augmentation de la température d'évaporation"
"2","34","<P>Plus la température d'évaporation est basse, plus le groupe frigorifique va consommer d'énergie.&nbsp;De ce fait il est important de vérifier les niveaux de température d'évaporation et d'identifier les possibilités d'augmentation de&nbsp;cette température. La vérification de cette température permettra d’optimiser le point de fonctionnement de l’échangeur et du groupe frigorifique.</P>
<P>Comme&nbsp;le fluide change de&nbsp;phase dans l'échangeur, la température&nbsp;d'évaporation peut être connue par la pression.&nbsp;</P>
<P>Il y a plusieurs moyens d'agir sur le température d'évaporation : </P>
<UL>
<LI>&nbsp;augmenter la pression de consigne au compresseur,</LI>
<LI>nettoyer l'évaporateur,</LI>
<LI>remplacer celui ci par un autre echangeur si&nbsp;il n'est pas correctement dimensionné.</LI></UL>"
"3","34","Increase the evaporation temperature"
"3","34","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The lower the evaporation temperature, the greater the cooling unit will consume energy. Therefore it is important to check the levels of evaporation temperature and identify opportunities to increase the temperature. Checking the temperature will optimize the operating point of the heat exchanger and the cooling unit.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">As the fluid changes phase in the heat exchanger, the evaporation temperature can be known by the pressure.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">There are several ways to influence the evaporation temperature :</P>
<UL>
<LI>
<DIV style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">increase the set pressure to the compressor,</DIV></LI>
<LI>
<DIV style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">clean the evaporator,</DIV></LI>
<LI>
<DIV style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">replace this one with another exchanger if it is not properly sized.</DIV></LI></UL>"
"4","34","Aumento de la temperatura de evaporación"
"4","34","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Cuanto más baja sea la temperatura de evaporación, más consumirá el grupo frigorífico. Por lo tanto es importante verificar los niveles de temperatura de evaporación e identificar los posibles aumentos de esta temperatura. La verificación de esta temperatura permitirá optimizar el punto de funcionamiento del intercambiador y del grupo frigorífico.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Como el fluido de cambio de fase en el intercambiador, la temperatura de evaporación puede ser conocida por la presión.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Existen varias formas de influir sobre la temperatura de evaporación:</P>
<UL>
<LI style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">aumentar la presión de consigna al compresor, </LI>
<LI style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">limpiar el evaporador, </LI>
<LI style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">reemplazar este por otro intercambiador si no está correctamente dimensionado. </LI></UL>"
"2","35","Diminution de la température de condensation"
"2","35","<P>Plus la température de condensation est haute, plus le groupe frigorifique va consommer d'énergie.&nbsp;De ce fait il est important de vérifier les niveaux de température de condensation et d'identifier les possibilités de diminution de la température de consigne. </P>
<P>La vérification de cette température permettra d’optimiser le point de fonctionnement de l’échangeur et du groupe frigorifique. Les installations frigorifiques sont dimensionnées pour pouvoir fonctionner lors des extrema de température (pics de chaleurs). En dehors de ces quelques jours, les groupes fonctionnent à rendement dégradé ce qui n'est pas pertinent et entraîne un gaspillage d'énergie.</P>
<P>Comme&nbsp;le fluide change de&nbsp;phase dans l'échangeur, la température&nbsp;de condensation&nbsp;peut être connue par la pression.&nbsp;</P>
<P>Il y a plusieurs moyens d'agir sur le température de condensation&nbsp;: </P>
<UL>
<LI>diminuer la pression de consigne au détendeur,</LI>
<LI>nettoyer l'évaporateur,</LI>
<LI>remplacer celui ci par un autre echangeur si&nbsp;il n'est pas correctement dimensionné.</LI></UL>"
"3","35","Decrease in the condensing temperature"
